Размер массива;Выбором Случайные [0..5];Выбором Случайные [0..4000];Выбором Почти отсортированный [0..4000];Выбором Обратно отсортированный [4100 -> 1];Пузырьковая Случайные [0..5];Пузырьковая Случайные [0..4000];Пузырьковая Почти отсортированный [0..4000];Пузырьковая Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон1 Случайные [0..5];Пузырьковая_Айверсон1 Случайные [0..4000];Пузырьковая_Айверсон1 Почти отсортированный [0..4000];Пузырьковая_Айверсон1 Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон2 Случайные [0..5];Пузырьковая_Айверсон2 Случайные [0..4000];Пузырьковая_Айверсон2 Почти отсортированный [0..4000];Пузырьковая_Айверсон2 Обратно отсортированный [4100 -> 1];Вставками Случайные [0..5];Вставками Случайные [0..4000];Вставками Почти отсортированный [0..4000];Вставками Обратно отсортированный [4100 -> 1];Бинарными_вставками Случайные [0..5];Бинарными_вставками Случайные [0..4000];Бинарными_вставками Почти отсортированный [0..4000];Бинарными_вставками Обратно отсортированный [4100 -> 1];Подсчетом_устойчивая Случайные [0..5];Подсчетом_устойчивая Случайные [0..4000];Подсчетом_устойчивая Почти отсортированный [0..4000];Подсчетом_устойчивая Обратно отсортированный [4100 -> 1];Цифровая Случайные [0..5];Цифровая Случайные [0..4000];Цифровая Почти отсортированный [0..4000];Цифровая Обратно отсортированный [4100 -> 1];Слиянием Случайные [0..5];Слиянием Случайные [0..4000];Слиянием Почти отсортированный [0..4000];Слиянием Обратно отсортированный [4100 -> 1];Быстрая_Хоар Случайные [0..5];Быстрая_Хоар Случайные [0..4000];Быстрая_Хоар Почти отсортированный [0..4000];Быстрая_Хоар Обратно отсортированный [4100 -> 1];Быстрая_Ломуто Случайные [0..5];Быстрая_Ломуто Случайные [0..4000];Быстрая_Ломуто Почти отсортированный [0..4000];Быстрая_Ломуто Обратно отсортированный [4100 -> 1];Пирамидальная Случайные [0..5];Пирамидальная Случайные [0..4000];Пирамидальная Почти отсортированный [0..4000];Пирамидальная Обратно отсортированный [4100 -> 1]
100;10007;10164;9993;8988;8148;9202;4088;4830;10063;11335;1471;4968;8334;9414;1246;4786;2038;2129;671;2943;4262;5102;1419;5372;717;3204;1180;686;1235;1928;1864;1150;4986;4925;3722;2949;2357;3528;2528;1340;2664;2914;5550;5645;3291;3593;3475;2903
200;38076;39421;40054;36466;24179;30643;13357;21790;33233;39068;8241;21853;26048;32303;5876;20669;5424;5963;1187;9626;12490;15725;2886;21509;929;3447;1468;955;1780;3003;2974;1704;9418;10065;7024;5348;4188;7409;4887;1979;6927;6269;17569;19333;6847;7878;7340;6427
300;85558;88360;90325;83724;47658;61792;28454;51083;63638;79339;26953;50807;54047;67445;19204;48907;10726;11984;1849;20725;25740;32589;4657;49825;1181;3714;1698;1268;2472;4159;4135;4145;14063;15552;10464;7909;5971;11389;7269;2619;12820;9723;31226;41705;10638;12525;11228;10114
400;153412;157119;160832;151657;78112;101731;49504;92153;102567;132528;58126;91746;91231;113118;42318;88852;17617;20103;2636;35613;43814;55551;6744;89472;1374;3977;1973;1516;3021;5294;5209;5226;18467;21172;13761;10332;7773;15595;9671;3329;20391;13392;42648;72800;14512;17442;15321;13911
500;241445;246262;251390;239010;116142;150392;77524;146420;153611;198438;101496;145469;138636;170290;76121;140916;26594;30428;3600;55410;67061;84865;9099;141929;1570;4205;2157;1788;3611;6302;6305;6306;22889;26949;17108;12744;9519;19937;12178;3817;29313;17143;50303;112822;18386;22585;19374;17981
600;348758;355128;361600;346652;161058;207553;111475;212289;213561;275707;155784;210337;194836;237807;119218;204151;36968;41931;4567;77409;94632;119234;11735;205304;1761;4453;2409;1983;4217;7447;7473;7424;27535;32783;20578;15359;11295;24209;14386;4577;39997;20937;54036;160614;22145;27675;23499;21909
700;476359;483827;491820;475136;213176;273585;151946;289556;283648;365506;219689;287881;260725;317879;172085;280345;49284;56150;5631;104700;127202;160000;14603;281027;2003;4695;2640;2299;4808;8513;8535;8469;32181;38729;23695;17730;13057;28683;16527;5370;52280;24862;56195;216925;26050;32960;28182;25923
800;624976;631960;641943;622801;272429;349801;199519;379640;362789;467135;294205;378107;337298;409733;232925;368147;63370;72899;6795;136593;165328;206713;17756;368824;2218;4947;2782;2566;5372;9681;9620;9612;36693;44863;27234;20316;14786;32969;18408;6111;66368;28763;58924;281762;30154;38219;32516;30129
900;793830;801694;812133;791339;338029;435195;254290;481337;451359;582534;380069;477844;422360;513336;306258;467386;79924;91642;8012;172669;207769;259334;21428;467781;2451;5182;3008;2769;6035;10775;10696;10679;41301;51088;30402;22801;16577;37442;19662;6578;81242;32727;59609;353722;33995;43642;37292;34009
1000;979975;988449;990278;978261;411218;530643;315302;595269;549546;709771;478082;592836;518221;630316;388066;579508;97720;111977;9280;213904;255457;318589;25303;579871;2685;5475;3213;3022;6588;11896;11858;11829;45976;57500;33652;25298;18326;42074;18890;6992;98714;36860;63188;434525;37926;49247;42006;38488
1100;1189886;1198332;1188859;1186987;491516;636364;374542;722334;658294;849273;554768;717901;625171;759839;411027;702613;118054;136242;9872;260250;307949;382986;26981;702316;3029;6971;4493;3287;7158;12969;12920;12894;50899;63637;37507;28230;20051;46585;18678;7677;116768;40793;132916;525025;41839;54823;46418;42121
1200;1417202;1426583;1419051;1414588;579134;752244;433991;861477;775182;1001278;631403;856078;741593;899614;416046;839190;140315;161824;10317;308697;365681;454038;28595;837646;3237;7186;4811;3535;7722;14086;14073;13993;55537;69346;40662;30621;21831;50862;21057;8571;137237;44888;207295;626640;45878;60419;50631;46305
1300;1667386;1677536;1670703;1665295;676402;878965;499222;1015363;904624;1170568;709105;1007157;870173;1054984;432644;986771;162850;187809;10902;357421;427747;530275;30337;983947;3482;7524;4957;3816;8330;15198;15108;15111;60185;75572;43889;33232;23595;55506;23517;9496;158374;48922;239315;734783;49767;66108;54886;49779
1400;1934888;1943265;1941542;1931073;779082;1017176;570437;1176825;1044802;1347893;787041;1168722;1010652;1222455;467575;1146147;188128;217486;11639;414223;495392;613111;32330;1144269;3712;7763;5003;4022;8912;16293;16261;16201;64661;81925;46992;35589;25394;60083;25883;10412;181701;53139;233912;852211;53759;71666;58945;54002
1500;2224414;2233093;2232024;2218742;892740;1165109;649081;1354200;1197801;1542522;868766;1346318;1164580;1405578;519925;1319270;214501;248068;12596;476165;569058;702259;34608;1315858;3970;8065;5125;4280;9517;17352;17334;17328;69224;88658;50390;38159;27131;64673;28087;11410;206720;57453;216424;976483;57607;77416;63267;57756
1600;2530818;2543313;2545064;2529879;1015423;1327396;732611;1542141;1361201;1748372;948469;1530156;1329625;1600932;589113;1500951;244307;281497;13498;540782;644852;796327;37196;1496934;4242;8327;5245;4548;10099;18541;18477;18370;73978;95534;54119;40812;28902;69178;30421;11963;233693;61576;198364;1112246;61632;83565;67857;62170
1700;2870045;2887089;2887386;2868852;1154162;1512018;827009;1752429;1545266;1982266;1037360;1740617;1516139;1822374;676496;1707770;272558;316659;14604;606998;730181;899652;40343;1696565;4638;8942;5466;4864;11197;19697;19651;19592;79228;101623;57093;43657;30865;73969;32732;12247;261341;66059;185391;1256365;65523;89556;72420;66116
1800;3219596;3225437;3229925;3211558;1291937;1690358;922321;1956230;1728633;2213721;1118047;1945775;1703397;2043818;776409;1907758;305016;354327;15834;680664;814364;1006297;43352;1901038;4895;8928;5659;5096;11409;20847;20757;20780;83344;108119;60580;46024;32365;78479;34627;13047;290586;70347;179369;1403747;69455;95274;76561;70897
1900;3581654;3591177;3600648;3577610;1442511;1889535;1025382;2179541;1931795;2467333;1211587;2166199;1908664;2284066;902744;2125718;339279;394425;17007;759026;906802;1116888;46938;2119414;5002;9090;5841;5406;11871;21838;21772;21737;88044;114978;63510;48841;34260;83395;36267;13729;322063;74466;173255;1558251;73679;101158;81155;74230
2000;3971489;3977911;3984537;3965459;1607238;2103970;1136534;2414455;2152359;2736450;1321468;2402392;2129222;2544607;1044284;2354264;374338;432852;18147;837128;1002750;1234452;50901;2346282;5156;9390;6030;5703;12465;22996;22914;22945;92248;121366;67011;51091;35867;87523;35924;13963;354142;78673;170478;1720057;77518;106940;85861;78777
2100;4378579;4389210;4377616;4373006;1783709;2331529;1250207;2666563;2386556;3025244;1421333;2649350;2365502;2819327;1121370;2603293;410962;479320;19010;932256;1105466;1358628;53264;2588114;5412;9547;6675;5946;13011;24020;23994;23867;98274;129083;71651;54772;37647;92242;33872;14828;388402;83036;263658;1896434;81338;113149;90429;82810
2200;4828808;4816260;4808275;4802904;1980696;2582639;1358187;2925738;2637741;3329206;1504072;2910011;2623047;3112309;1124143;2853769;452337;523971;19375;1009265;1212835;1489111;54788;2842577;5645;9770;6981;6151;13576;25195;25173;25156;102882;134562;74834;57172;39322;97210;36340;15735;424061;87360;414144;2086261;85585;118959;94763;88293
2300;5257147;5271101;5260524;5256363;2186080;2842918;1474285;3203887;2909860;3663366;1587396;3186143;2892290;3428478;1139308;3124908;492073;576023;20160;1124249;1325417;1626498;56664;3108221;5932;10113;7295;6498;14202;26274;26257;26238;107729;140743;77939;59925;41207;101691;38862;16956;461792;91604;489122;2282386;89324;124818;98683;92281
2400;5729083;5741146;5736425;5724344;2404097;3120155;1595986;3491180;3197560;3999808;1667459;3467775;3181931;3762271;1169940;3403151;533520;625282;20733;1212657;1441102;1770207;58760;3387428;6116;10318;7388;6599;14817;27572;27378;27375;111773;147180;81337;62517;42945;106467;41349;17500;500747;96098;485505;2489042;93333;131037;103405;96503
2500;6217704;6231600;6229294;6216037;2645904;3421879;1722454;3784415;3503437;4361102;1752111;3765256;3488811;4112136;1218328;3699024;577639;673425;21598;1306236;1561683;1915353;61119;3675759;6335;10590;7689;6972;15446;28644;28538;28525;117013;153631;84399;64736;44719;111136;43649;18039;541037;100561;434109;2698462;97276;137101;107526;100860
2600;6725219;6739260;6740554;6722113;2902475;3738116;1857369;4098716;3830110;4748143;1835447;4074546;3814172;4478234;1280124;3996367;622064;725874;22519;1403796;1687961;2086788;63825;3976419;6576;10806;7799;7067;15952;29655;29707;29639;121479;160537;88150;67455;46494;115738;45984;19361;582917;104765;406460;2915101;101202;143136;111973;105988
2700;7255396;7267990;7268563;7251778;3177018;4069681;1995649;4417061;4176735;5145739;1922555;4397965;4159210;4869014;1364318;4312753;673955;783114;23793;1521455;1820269;2228398;66273;4288566;6833;11023;8108;7478;16618;30780;30740;30896;126156;167230;91003;69754;48206;120532;48382;20470;627153;109436;365757;3143548;105147;149115;116513;110426
2800;7806237;7822161;7826291;7798648;3475169;4425052;2143029;4751295;4545698;5567227;2009574;4728380;4525969;5277958;1467131;4637935;722434;843532;24969;1634492;1956772;2394972;69487;4614065;7018;11390;8208;7624;17184;31857;31779;31900;130394;174280;93903;72377;50249;125221;50342;21369;672164;113688;348047;3378070;108890;155466;120785;114173
2900;8378896;8392608;8397388;8374834;3797066;4804991;2300023;5109080;4937304;6016446;2104282;5078601;4913755;5708061;1588604;4981221;769108;899277;26225;1754953;2100236;2566132;73180;4953701;7270;11665;8589;8058;17793;33063;33012;33043;135321;180411;97395;75089;52010;129917;51956;22120;718900;118138;332649;3617957;113194;161948;125599;118474
3000;8965489;8978189;8979968;8958071;4139779;5198275;2460949;5459867;5349860;6487207;2209297;5434197;5324132;6167168;1735357;5328572;813860;957806;27416;1873392;2246954;2746365;77167;5305313;7504;11955;8696;8198;18387;34343;34220;34312;139962;187412;100736;77618;53713;134689;52566;23632;767722;122489;324384;3861260;117181;167743;130067;122991
3100;9573804;9589873;9571334;9568515;4504573;5623666;2626385;5834379;5790563;6975931;2329723;5810647;5754674;6643629;1872004;5694556;869097;1018449;28406;1995041;2397343;2928889;80195;5662792;7763;12209;9339;8603;18960;35512;35468;35630;145605;195223;104491;80751;55588;139561;49154;23666;815762;126686;386623;4121966;121022;173871;134714;127694
